시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,설치장소설명,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,동시사용가능대수,공기주입가능여부,휴대전화충전가능여부,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
전주 평화사회복지관,전라북도,전주시,46400,전라북도 전주시 완산구 덕적골2길 25,전라북도 전주시 완산구 평화동1가 445-6,35.79561646,127.1418577,실내 1층,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 평화사회복지관,063-286-4408,2022-08-23,4640000,전라북도 전주시
전주동물원,전라북도,전주시,46400,전라북도 전주시 덕진구 소리로 68,전라북도 전주시 덕진구 덕진동1가 73-48,35.85730635,127.1440769,입구 안내소,09:00,18:00,09:00,18:00,09:00,18:00,4,Y,N,전라북도 전주시 전주동물원,063-281-5756,2022-08-23,4640000,전라북도 전주시
전주시 덕진구청,전라북도,전주시,46400,전라북도 전주시 덕진구 벚꽃로 55,전라북도 전주시 덕진구 진북동 416-12,35.829353,127.1351746,1층 로비,09:00,18:00,09:00,18:00,09:00,18:00,4,Y,N,전라북도 전주시 덕진구청,063-270-6310,2022-08-23,4640000,전라북도 전주시
전주시 완산구청,전라북도,전주시,46400,전라북도 전주시 완산구 서원로 232,전라북도 전주시 완산구 효자동1가 595,35.812177,127.119785,1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 완산구청,063-220-5156,2022-08-23,4640000,전라북도 전주시
전주시장애인정보교환센터,전라북도,전주시,46400,전라북도 전주시 완산구 덕적골2길 33,전라북도 전주시 완산구 평화동1가 445-6,35.79561951,127.141334,1층 로비,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전주시장애인정보교환센터,063-283-6633,2022-08-23,4640000,전라북도 전주시
전주시청,전라북도,전주시,46400,전라북도 전주시 완산구 노송광장로 29(본관 강당 출입방면),전라북도 전주시 완산구 서노송동 619-11,35.82426982,127.1468073,1층 입구(실외),09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시청,063-281-5193,2022-08-23,4640000,전라북도 전주시
전주역,전라북도,전주시,46400,전라북도 전주시 덕진구 동부대로 680,전라북도 전주시 덕진구 우아동3가 235-10,35.84968891,127.1634706,1층 로비,09:00,18:00,09:00,18:00,09:00,18:00,8,Y,N,전라북도 전주시 전주역,063-249-7016,2022-08-23,4640000,전라북도 전주시
전주장애인종합복지관,전라북도,전주시,46400,전라북도 전주시 완산구 백제대로 20-41,전라북도 전주시 완산구 평화동1가 599-1,35.797513,127.132346,실내 1층,09:00,18:00,00:00,00:00,00:00,00:00,8,Y,N,전라북도 전주시 전주장애인종합복지관,063-229-0062,2022-08-23,4640000,전라북도 전주시
전주종합경기장(지체장애인협회),전라북도,전주시,46400,"전라북도 전주시 덕진구 기린대로 451, 130호~131호",전라북도 전주시 덕진구 덕진동1가 1220-1,35.84075454,127.127127,1층 사무실 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 종합경기장(지체장애인협회),063-284-8898,2022-08-23,4640000,전라북도 전주시
조촌동 주민센터,전라북도,전주시,46400,전라북도 전주시 덕진구 쪽구름로 150,전라북도 전주시 덕진구 반월동 394,35.87452989,127.0691976,1층 로비 안,09:00,18:00,00:00,00:00,00:00,00:00,4,Y,N,전라북도 전주시 조촌동 주민센터,063-279-7367,2022-08-23,4640000,전라북도 전주시
